14-12-2023, 08:55:04,image name,002_12.00_051_1.jpg,model name,Proj_020_071223_101200_07122023_122221.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 08:57:08,image name,002_12.00_051_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 08:57:25,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 08:57:42,image name,002_12.00_052_9.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 08:58:06,image name,002_12.00_053_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:18:14,image name,002_12.00_053_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:18:22,image name,002_12.00_051_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:18:40,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:18:57,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:19:02,image name,002_12.00_051_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:19:12,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:19:23,image name,002_12.00_052_5.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:19:41,image name,002_12.00_052_9.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:28:39,image name,002_12.00_053_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:28:47,image name,002_12.70_054_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:29:07,image name,002_12.70_056_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:29:16,image name,002_16.00_058_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 09:29:27,image name,002_16.00_058_4.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:50:47,image name,002_12.00_051_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:51:29,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:53:02,image name,002_12.00_052_5.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:53:29,image name,002_12.00_052_5.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:53:38,image name,002_12.00_052_5.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:55:48,image name,002_12.00_052_5.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:55:53,image name,002_12.00_052_5.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:55:58,image name,002_12.00_052_5.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:56:09,image name,002_12.00_051_1.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 10:57:31,image name,002_12.00_051_1.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D002,score,0.53,cnter,1130,2592,area,1191,width,42,height,39
14-12-2023, 10:59:07,image name,002_12.00_052_2.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D002,score,0.30,cnter,3430,2764,area,1315,width,74,height,28
,,class name,D002,score,0.20,cnter,3447,2750,area,1,width,1,height,1
14-12-2023, 11:00:48,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 11:01:00,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D002,score,0.61,cnter,3427,2766,area,1867,width,76,height,43
,,class name,D002,score,0.22,cnter,3380,522,area,114,width,16,height,9
14-12-2023, 11:03:38,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.20,1.00, roi used,true, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
14-12-2023, 11:04:10,image name,002_12.00_052_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.61,cnter,3427,2766,area,1867,width,76,height,43
,,class name,D002,score,0.22,cnter,3380,522,area,114,width,16,height,9
14-12-2023, 11:04:31,image name,002_12.00_052_5.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.28,cnter,757,2657,area,411,width,18,height,37
,,class name,D002,score,0.20,cnter,4045,2627,area,7,width,4,height,3
,,class name,D002,score,0.99,cnter,820,2646,area,2925,width,92,height,70
,,class name,D002,score,0.20,cnter,4064,2559,area,1,width,2,height,1
,,class name,D002,score,0.23,cnter,4054,2559,area,22,width,12,height,2
14-12-2023, 11:05:52,image name,002_12.00_052_9.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.21,cnter,3076,506,area,14,width,7,height,4
,,class name,D002,score,0.24,cnter,3093,509,area,130,width,34,height,6
14-12-2023, 11:06:27,image name,002_12.00_052_9.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:06:33,image name,002_12.00_052_9.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:07:01,image name,002_12.00_052_9.jpg,model name,Proj_016_291123_204000_03122023_082411.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.16,cnter,4353,2776,area,3,width,1,height,3
