,,class name,D223,score,0.20,cnter,3045,2804,area,79,width,9,height,11
,,class name,D223,score,0.22,cnter,4903,2776,area,435,width,37,height,19
,,class name,D223,score,0.15,cnter,2594,2763,area,3,width,2,height,2
,,class name,D223,score,0.19,cnter,4869,2767,area,77,width,12,height,10
,,class name,D223,score,0.40,cnter,2936,2780,area,1351,width,112,height,50
,,class name,D223,score,0.25,cnter,2546,2758,area,139,width,15,height,11
,,class name,D223,score,0.20,cnter,2488,2753,area,75,width,13,height,9
,,class name,D223,score,0.21,cnter,2525,2754,area,135,width,12,height,14
,,class name,D223,score,0.22,cnter,4665,2749,area,113,width,13,height,11
,,class name,D223,score,0.27,cnter,2298,2726,area,184,width,12,height,19
,,class name,D223,score,0.20,cnter,2234,2720,area,127,width,19,height,11
,,class name,D223,score,0.17,cnter,5046,2691,area,54,width,10,height,8
,,class name,D223,score,0.21,cnter,4171,2683,area,721,width,71,height,16
,,class name,D223,score,0.26,cnter,4086,2667,area,234,width,21,height,14
,,class name,D223,score,0.16,cnter,843,2323,area,30,width,6,height,6
,,class name,D223,score,0.15,cnter,831,2317,area,7,width,3,height,3
,,class name,D223,score,0.50,cnter,834,2203,area,805,width,19,height,90
,,class name,D223,score,0.16,cnter,845,2167,area,20,width,4,height,6
,,class name,D223,score,0.17,cnter,862,1744,area,32,width,6,height,7
,,class name,D223,score,0.16,cnter,1057,1108,area,3,width,3,height,2
,,class name,D223,score,0.19,cnter,2481,867,area,53,width,8,height,8
,,class name,D223,score,0.17,cnter,5469,777,area,44,width,5,height,14
,,class name,D223,score,0.15,cnter,5463,771,area,8,width,6,height,3
,,class name,D223,score,0.16,cnter,5449,771,area,43,width,17,height,4
,,class name,D223,score,0.17,cnter,4822,509,area,54,width,11,height,6
,,class name,D223,score,0.19,cnter,2556,480,area,92,width,8,height,18
,,class name,D223,score,0.16,cnter,1634,444,area,24,width,6,height,6
,,class name,D223,score,0.17,cnter,1402,418,area,32,width,8,height,5
,,class name,D223,score,0.23,cnter,1470,419,area,134,width,14,height,12
14-12-2023, 11:10:22,image name,002_12.00_052_9.jpg,model name,Proj_010_261023_110700_26102023_154930.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D223,score,0.23,cnter,1599,2874,area,167,width,15,height,15
,,class name,D223,score,0.16,cnter,4690,2818,area,17,width,6,height,3
,,class name,D223,score,0.16,cnter,4685,2818,area,2,width,2,height,2
,,class name,D223,score,0.18,cnter,4348,2774,area,54,width,8,height,10
,,class name,D223,score,0.20,cnter,4291,2768,area,162,width,16,height,14
,,class name,D223,score,0.21,cnter,4136,2750,area,106,width,13,height,11
,,class name,D223,score,0.17,cnter,4031,2740,area,34,width,10,height,5
,,class name,D223,score,0.23,cnter,4054,2739,area,249,width,25,height,17
,,class name,D223,score,0.17,cnter,1453,2620,area,182,width,21,height,18
,,class name,D223,score,0.16,cnter,4583,2559,area,1,width,2,height,1
,,class name,D223,score,0.17,cnter,4579,2557,area,77,width,20,height,5
,,class name,D223,score,0.73,cnter,2742,2449,area,234,width,17,height,18
,,class name,D223,score,0.20,cnter,2039,1041,area,551,width,26,height,47
,,class name,D223,score,0.15,cnter,3107,511,area,1,width,2,height,1
14-12-2023, 11:11:11,image name,002_12.00_053_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:11:14,image name,002_12.00_053_2.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.17,cnter,1044,2846,area,29,width,9,height,5
,,class name,D002,score,0.21,cnter,1024,2840,area,153,width,14,height,16
,,class name,D002,score,0.18,cnter,916,2832,area,52,width,8,height,9
,,class name,D002,score,0.18,cnter,3067,2821,area,75,width,10,height,9
,,class name,D002,score,0.15,cnter,3055,2821,area,1,width,1,height,2
,,class name,D002,score,0.18,cnter,3045,2819,area,119,width,26,height,7
,,class name,D002,score,0.18,cnter,912,2819,area,68,width,17,height,6
,,class name,D002,score,0.17,cnter,2975,2803,area,34,width,7,height,6
,,class name,D002,score,0.16,cnter,2941,2786,area,13,width,4,height,4
,,class name,D002,score,0.17,cnter,2953,2783,area,50,width,7,height,9
,,class name,D002,score,0.16,cnter,2882,2782,area,25,width,8,height,7
,,class name,D002,score,0.16,cnter,2894,2776,area,33,width,8,height,6
,,class name,D002,score,0.15,cnter,2815,2767,area,1,width,2,height,1
,,class name,D002,score,0.20,cnter,5034,2775,area,527,width,36,height,29
,,class name,D002,score,0.16,cnter,2591,2765,area,26,width,5,height,6
,,class name,D002,score,0.18,cnter,4868,2765,area,51,width,8,height,9
,,class name,D002,score,0.16,cnter,4664,2749,area,10,width,4,height,4
,,class name,D002,score,0.22,cnter,2297,2727,area,166,width,15,height,15
,,class name,D002,score,0.17,cnter,4722,2711,area,46,width,8,height,7
,,class name,D002,score,0.25,cnter,4086,2669,area,236,width,21,height,15
,,class name,D002,score,0.52,cnter,844,2277,area,2742,width,42,height,147
,,class name,D002,score,0.15,cnter,2575,511,area,3,width,3,height,2
,,class name,D002,score,0.18,cnter,930,491,area,66,width,10,height,8
,,class name,D002,score,0.20,cnter,1469,419,area,93,width,14,height,9
14-12-2023, 11:13:31,image name,002_12.70_054_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.16,cnter,4683,2918,area,31,width,10,height,4
,,class name,D002,score,0.18,cnter,4659,2913,area,242,width,31,height,11
,,class name,D002,score,0.24,cnter,3467,2770,area,173,width,22,height,12
,,class name,D002,score,0.33,cnter,3518,2771,area,668,width,64,height,15
,,class name,D002,score,0.16,cnter,2423,2561,area,9,width,10,height,1
,,class name,D002,score,0.18,cnter,2382,2562,area,133,width,73,height,3
,,class name,D002,score,0.33,cnter,2145,2532,area,882,width,59,height,28
,,class name,D002,score,0.23,cnter,2164,2482,area,1201,width,74,height,41
,,class name,D002,score,0.90,cnter,1344,2310,area,3061,width,136,height,58
,,class name,D002,score,0.15,cnter,1023,1735,area,2,width,1,height,3
,,class name,D002,score,0.16,cnter,1022,1728,area,28,width,3,height,12
,,class name,D002,score,0.53,cnter,4055,605,area,1049,width,92,height,22
14-12-2023, 11:15:28,image name,002_12.70_056_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.84,cnter,1451,2558,area,1177,width,81,height,50
,,class name,D002,score,0.16,cnter,770,1965,area,16,width,4,height,6
,,class name,D002,score,0.18,cnter,4605,1809,area,80,width,7,height,17
,,class name,D002,score,0.15,cnter,4607,1795,area,1,width,1,height,1
,,class name,D002,score,0.16,cnter,4572,1794,area,9,width,6,height,3
,,class name,D002,score,0.15,cnter,4555,1793,area,1,width,2,height,1
,,class name,D002,score,0.16,cnter,3581,1072,area,20,width,4,height,6
,,class name,D002,score,0.16,cnter,3325,787,area,9,width,3,height,5
,,class name,D002,score,0.16,cnter,3325,775,area,69,width,8,height,16
,,class name,D002,score,0.15,cnter,3316,770,area,6,width,4,height,3
,,class name,D002,score,0.15,cnter,3307,770,area,12,width,7,height,3
,,class name,D002,score,0.16,cnter,3295,773,area,100,width,15,height,12
,,class name,D002,score,0.16,cnter,3273,769,area,7,width,7,height,2
14-12-2023, 11:17:36,image name,002_12.70_056_1.jpg,model name,Proj_019_061223_142300_07122023_083445.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:17:39,image name,002_12.70_056_1.jpg,model name,Proj_019_061223_142300_07122023_083445.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D015,score,0.20,cnter,1404,2577,area,42,width,10,height,6
,,class name,D015,score,0.17,cnter,4099,2568,area,27,width,6,height,6
,,class name,D015,score,0.37,cnter,1453,2557,area,1215,width,90,height,52
,,class name,D015,score,0.18,cnter,3586,2188,area,21,width,4,height,6
,,class name,D015,score,0.17,cnter,3511,2139,area,10,width,3,height,4
,,class name,D015,score,0.20,cnter,747,1924,area,202,width,15,height,18
,,class name,D015,score,0.16,cnter,1908,1815,area,9,width,3,height,4
14-12-2023, 11:18:52,image name,002_16.00_058_1.jpg,model name,Proj_019_061223_142300_07122023_083445.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D015,score,0.34,cnter,2992,3240,area,1050,width,51,height,35
,,class name,D015,score,0.17,cnter,1113,817,area,18,width,5,height,5
,,class name,D015,score,0.21,cnter,3588,136,area,59,width,7,height,10
14-12-2023, 11:18:55,image name,002_16.00_058_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:18:59,image name,002_16.00_058_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.18,cnter,1181,3281,area,34,width,7,height,6
,,class name,D002,score,0.20,cnter,1284,3257,area,85,width,11,height,14
,,class name,D002,score,0.53,cnter,2994,3242,area,1309,width,53,height,40
,,class name,D002,score,0.17,cnter,2269,20,area,85,width,19,height,6
14-12-2023, 11:20:27,image name,002_16.00_058_4.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.39,cnter,3230,2935,area,1316,width,51,height,43
,,class name,D002,score,0.16,cnter,1290,2814,area,6,width,3,height,3
,,class name,D002,score,0.16,cnter,1286,2813,area,10,width,4,height,5
,,class name,D002,score,0.16,cnter,1282,2812,area,18,width,4,height,8
,,class name,D002,score,0.22,cnter,1138,2564,area,160,width,30,height,11
,,class name,D002,score,0.16,cnter,5031,2200,area,22,width,5,height,6
,,class name,D002,score,0.16,cnter,4967,2118,area,10,width,5,height,3
,,class name,D002,score,0.18,cnter,4948,2109,area,190,width,23,height,20
,,class name,D002,score,0.15,cnter,3050,2049,area,3,width,3,height,1
,,class name,D002,score,0.18,cnter,3678,1551,area,109,width,9,height,17
,,class name,D002,score,0.21,cnter,2032,1534,area,127,width,23,height,11
,,class name,D002,score,0.17,cnter,1398,1283,area,77,width,22,height,6
,,class name,D002,score,0.18,cnter,4861,1268,area,69,width,7,height,14
,,class name,D002,score,0.24,cnter,3482,1091,area,101,width,11,height,12
,,class name,D002,score,0.15,cnter,1535,1083,area,4,width,2,height,4
,,class name,D002,score,0.16,cnter,1535,1089,area,9,width,2,height,8
,,class name,D002,score,0.17,cnter,1534,1099,area,24,width,3,height,12
,,class name,D002,score,0.19,cnter,1602,961,area,71,width,9,height,10
,,class name,D002,score,0.20,cnter,1492,959,area,113,width,11,height,14
,,class name,D002,score,0.30,cnter,3236,914,area,557,width,32,height,30
,,class name,D002,score,0.21,cnter,5265,843,area,68,width,9,height,10
,,class name,D002,score,0.16,cnter,1276,695,area,44,width,10,height,12
,,class name,D002,score,0.19,cnter,3394,675,area,42,width,6,height,9
,,class name,D002,score,0.16,cnter,1255,664,area,16,width,4,height,6
,,class name,D002,score,0.25,cnter,1437,599,area,136,width,17,height,10
,,class name,D002,score,0.15,cnter,3363,511,area,1,width,1,height,1
,,class name,D002,score,0.15,cnter,3359,511,area,1,width,1,height,1
,,class name,D002,score,0.15,cnter,3356,511,area,2,width,2,height,1
,,class name,D002,score,0.18,cnter,3383,507,area,210,width,30,height,13
,,class name,D002,score,0.25,cnter,5130,504,area,315,width,24,height,21
,,class name,D002,score,0.22,cnter,3334,478,area,347,width,15,height,36
14-12-2023, 11:21:13,image name,002_16.00_059_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.21,cnter,1034,3251,area,194,width,20,height,13
,,class name,D002,score,0.86,cnter,4460,3226,area,5268,width,195,height,65
14-12-2023, 11:22:57,image name,002_16.00_060_1.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.15,cnter,2628,3256,area,1,width,1,height,2
,,class name,D002,score,0.96,cnter,2645,3269,area,8940,width,207,height,124
14-12-2023, 11:24:19,image name,002_16.00_060_1.jpg,model name,Proj_020_071223_101200_07122023_122221.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:24:21,image name,002_16.00_060_1.jpg,model name,Proj_020_071223_101200_07122023_122221.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D223,score,0.23,cnter,2540,3333,area,123,width,16,height,10
,,class name,D223,score,0.49,cnter,2675,3259,area,3165,width,104,height,59
,,class name,D223,score,0.18,cnter,2717,3224,area,82,width,12,height,10
,,class name,D223,score,0.15,cnter,4205,3138,area,5,width,3,height,3
,,class name,D223,score,0.15,cnter,4178,3056,area,1,width,1,height,1
,,class name,D223,score,0.18,cnter,4767,116,area,45,width,8,height,8
,,class name,D223,score,0.18,cnter,5117,27,area,46,width,5,height,10
14-12-2023, 11:24:58,image name,002_16.00_060_4.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,
14-12-2023, 11:25:07,image name,002_16.00_060_4.jpg,model name,Proj_018_051223_121600_06122023_081640.vrws, Thresholds,0.15,1.00, roi used,false, angle,0.00, x,102.00, y,145.00, width,5380.00, height,3430.00
,,class name,D002,score,0.15,cnter,1282,2969,area,5,width,3,height,2
,,class name,D002,score,0.61,cnter,3085,2958,area,866,width,46,height,32
,,class name,D002,score,0.64,cnter,1213,2902,area,3557,width,60,height,112
,,class name,D002,score,0.18,cnter,2852,2778,area,187,width,18,height,24
,,class name,D002,score,0.15,cnter,2815,2745,area,1,width,1,height,2
,,class name,D002,score,0.16,cnter,1229,2728,area,16,width,5,height,5
,,class name,D002,score,0.16,cnter,1226,2721,area,32,width,11,height,6
,,class name,D002,score,0.28,cnter,2771,2751,area,6533,width,183,height,131
,,class name,D002,score,0.29,cnter,1205,2756,area,4089,width,46,height,156
,,class name,D002,score,0.15,cnter,1214,2631,area,1,width,1,height,1
,,class name,D002,score,0.19,cnter,1527,2310,area,182,width,25,height,16
,,class name,D002,score,0.16,cnter,1847,1793,area,4,width,3,height,2
,,class name,D002,score,0.16,cnter,1534,731,area,2,width,1,height,3
,,class name,D002,score,0.15,cnter,1279,664,area,1,width,1,height,2
