10-01-2024, 08:31:59,image name,002_16.00_059_1.jpg,model name,.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,0.00, y,0.00, width,0.00, height,0.00
,,class name,D2042,score,0.21,cnter,1036,3250,area,31,width,12,height,5
,,class name,D2042,score,0.21,cnter,4382,3252,area,59,width,11,height,9
,,class name,D2042,score,0.83,cnter,2272,3253,area,808,width,30,height,34
,,class name,D2042,score,0.27,cnter,4416,3239,area,365,width,29,height,30
,,class name,D2042,score,0.40,cnter,4532,3210,area,939,width,61,height,27
10-01-2024, 10:22:35,image name,002_16.00_059_1.jpg,model name,.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,0.00, y,0.00, width,0.00, height,0.00
,,class name,D2042,score,0.21,cnter,1036,3250,area,31,width,12,height,5
,,class name,D2042,score,0.21,cnter,4382,3252,area,59,width,11,height,9
,,class name,D2042,score,0.83,cnter,2272,3253,area,808,width,30,height,34
,,class name,D2042,score,0.27,cnter,4416,3239,area,365,width,29,height,30
,,class name,D2042,score,0.40,cnter,4532,3210,area,939,width,61,height,27
