21-09-2023, 10:40:02,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.94,cnter,3820,2660,area,167,width,34,height,12
,,class name,D002,score,0.98,cnter,3761,2644,area,404,width,31,height,18
,,class name,D002,score,0.96,cnter,4136,2565,area,169,width,21,height,9
21-09-2023, 10:47:23,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,------------------------------no defects found-----------------------------
21-09-2023, 10:57:15,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.94,cnter,3820,2660,area,167,width,34,height,12
,,class name,D002,score,0.98,cnter,3761,2644,area,404,width,31,height,18
,,class name,D002,score,0.96,cnter,4136,2565,area,169,width,21,height,9
21-09-2023, 10:58:28,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.82,cnter,2113,1982,area,42,width,15,height,4
,,class name,D002,score,0.48,cnter,2060,1968,area,4,width,3,height,3
,,class name,D002,score,0.58,cnter,2068,1970,area,27,width,12,height,3
,,class name,D002,score,0.76,cnter,2437,1889,area,52,width,15,height,5
21-09-2023, 11:50:12,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.94,cnter,3820,2660,area,167,width,34,height,12
,,class name,D002,score,0.98,cnter,3761,2644,area,404,width,31,height,18
,,class name,D002,score,0.96,cnter,4136,2565,area,169,width,21,height,9
21-09-2023, 13:58:54,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.94,cnter,3820,2660,area,167,width,34,height,12
,,class name,D002,score,0.98,cnter,3761,2644,area,404,width,31,height,18
,,class name,D002,score,0.96,cnter,4136,2565,area,169,width,21,height,9
21-09-2023, 13:59:07,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.82,cnter,2113,1982,area,42,width,15,height,4
,,class name,D002,score,0.48,cnter,2060,1968,area,4,width,3,height,3
,,class name,D002,score,0.58,cnter,2068,1970,area,27,width,12,height,3
,,class name,D002,score,0.76,cnter,2437,1889,area,52,width,15,height,5
21-09-2023, 14:05:27,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.82,cnter,2113,1982,area,42,width,15,height,4
,,class name,D002,score,0.48,cnter,2060,1968,area,4,width,3,height,3
,,class name,D002,score,0.58,cnter,2068,1970,area,27,width,12,height,3
,,class name,D002,score,0.76,cnter,2437,1889,area,52,width,15,height,5
21-09-2023, 14:08:08,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,------------------------------no defects found-----------------------------
21-09-2023, 14:10:09,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.82,cnter,2113,1982,area,42,width,15,height,4
,,class name,D002,score,0.48,cnter,2060,1968,area,4,width,3,height,3
,,class name,D002,score,0.58,cnter,2068,1970,area,27,width,12,height,3
,,class name,D002,score,0.76,cnter,2437,1889,area,52,width,15,height,5
21-09-2023, 14:10:46,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.42,cnter,1815,1983,area,1,width,2,height,1
,,class name,D002,score,0.49,cnter,1813,1983,area,2,width,2,height,2
,,class name,D002,score,0.98,cnter,1762,1967,area,294,width,28,height,14
,,class name,D002,score,0.85,cnter,2137,1889,area,79,width,19,height,5
21-09-2023, 14:11:32,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.97,cnter,1261,1967,area,247,width,23,height,15
,,class name,D002,score,0.85,cnter,1638,1889,area,56,width,13,height,5
21-09-2023, 14:11:48,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.70,cnter,1015,1983,area,16,width,10,height,2
,,class name,D002,score,0.98,cnter,961,1967,area,312,width,29,height,16
,,class name,D002,score,0.82,cnter,1337,1889,area,79,width,19,height,5
21-09-2023, 14:12:05,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.76,cnter,913,1982,area,32,width,14,height,3
,,class name,D002,score,0.98,cnter,862,1967,area,282,width,27,height,16
,,class name,D002,score,0.90,cnter,1238,1889,area,77,width,15,height,7
21-09-2023, 14:12:20,image name,002_05.00_005_1.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.40,0.98
,,class name,D002,score,0.91,cnter,862,1982,area,61,width,19,height,5
,,class name,D002,score,0.98,cnter,812,1967,area,282,width,26,height,16
