,,class name,D2043,score,0.22,cnter,2113,2488,area,100,width,21,height,6
,,class name,D2043,score,0.28,cnter,1943,2482,area,822,width,83,height,24
,,class name,D2043,score,0.23,cnter,1937,2029,area,72,width,20,height,12
,,class name,D2043,score,0.26,cnter,1893,2004,area,180,width,38,height,24
,,class name,D2043,score,0.32,cnter,2061,1913,area,289,width,27,height,59
,,class name,D2043,score,0.26,cnter,2262,1531,area,220,width,33,height,11
31-12-2023, 12:06:06,image name,002_06.00_013_f2.jpg,model name,WS_Proj_022_261223_111400_261223_183645.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2043,score,0.24,cnter,1969,2563,area,67,width,19,height,5
,,class name,D2043,score,0.33,cnter,1919,2564,area,404,width,65,height,8
,,class name,D2043,score,0.58,cnter,2080,1778,area,1153,width,84,height,31
31-12-2023, 12:06:14,image name,002_06.00_016_f2.jpg,model name,WS_Proj_022_261223_111400_261223_183645.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2043,score,0.26,cnter,1735,2448,area,379,width,32,height,38
,,class name,D2043,score,0.34,cnter,2340,2382,area,498,width,26,height,41
,,class name,D2043,score,0.28,cnter,1663,1969,area,776,width,33,height,56
,,class name,D2043,score,0.31,cnter,2174,1809,area,619,width,55,height,27
31-12-2023, 12:06:19,image name,002_06.00_016_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,
31-12-2023, 12:06:25,image name,002_06.00_016_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.94,cnter,1840,2533,area,979,width,57,height,29
,,class name,D2042,score,0.36,cnter,1753,2479,area,1017,width,66,height,65
,,class name,D2042,score,0.90,cnter,2346,2374,area,697,width,38,height,51
,,class name,D2042,score,0.27,cnter,1964,2298,area,143,width,20,height,14
,,class name,D2042,score,0.22,cnter,1967,2272,area,64,width,10,height,15
,,class name,D2042,score,0.31,cnter,1666,1965,area,234,width,19,height,25
,,class name,D2042,score,0.23,cnter,2074,1973,area,706,width,27,height,53
,,class name,D2042,score,0.80,cnter,2165,1805,area,583,width,49,height,26
31-12-2023, 12:06:40,image name,002_06.00_020_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.27,cnter,1802,2512,area,289,width,21,height,22
,,class name,D2042,score,0.89,cnter,1774,2494,area,424,width,25,height,28
,,class name,D2042,score,0.93,cnter,2324,2469,area,1280,width,39,height,52
,,class name,D2042,score,0.92,cnter,2005,2289,area,2341,width,89,height,34
,,class name,D2042,score,0.22,cnter,2377,2091,area,156,width,14,height,25
,,class name,D2042,score,0.22,cnter,2383,2059,area,97,width,13,height,11
,,class name,D2042,score,0.88,cnter,2082,2076,area,3954,width,79,height,62
,,class name,D2042,score,0.40,cnter,1857,2044,area,78,width,15,height,8
,,class name,D2042,score,0.59,cnter,2362,2007,area,1541,width,50,height,110
,,class name,D2042,score,0.63,cnter,1782,1954,area,625,width,24,height,39
,,class name,D2042,score,0.21,cnter,1750,1922,area,297,width,34,height,24
,,class name,D2042,score,0.38,cnter,1784,1896,area,289,width,19,height,28
31-12-2023, 12:06:49,image name,002_06.35_027_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.23,cnter,1779,2070,area,156,width,21,height,14
31-12-2023, 12:06:57,image name,015_06.35_040_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.58,cnter,2319,2403,area,688,width,34,height,37
,,class name,D2042,score,0.95,cnter,2389,2239,area,1264,width,32,height,59
,,class name,D2042,score,0.68,cnter,1599,2053,area,280,width,39,height,13
31-12-2023, 12:07:06,image name,015_07.70_027_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.45,cnter,2133,2473,area,162,width,26,height,10
31-12-2023, 12:07:14,image name,015_07.70_032_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.22,cnter,1661,2341,area,89,width,15,height,13
31-12-2023, 12:07:22,image name,015_16.00_001_f2.jpg,model name,Proj_021_201223_104500_21122023_104445.vrws, Thresholds,0.20,1.00, roi used,false, angle,0.00, x,260.00, y,2949.00, width,5222.00, height,626.00
,,class name,D2042,score,0.87,cnter,2280,2531,area,692,width,31,height,32
,,class name,D2042,score,0.49,cnter,1264,2328,area,824,width,33,height,42
