23-10-2023, 10:08:32,image name,002_10.00_017_2.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.60,1.00, roi used,true, angle,0.00, x,1013.00, y,1456.00, width,4466.00, height,1965.00
,,class name,D002,score,0.86,cnter,274,1731,area,212,width,25,height,13
,,class name,D002,score,0.76,cnter,267,1719,area,30,width,7,height,6
23-10-2023, 10:08:55,image name,002_10.00_017_2.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,1013.00, y,1456.00, width,4466.00, height,1965.00
,,------------------------------no defects found-----------------------------
23-10-2023, 10:09:03,image name,002_10.00_017_2.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.60,1.00, roi used,true, angle,0.00, x,1013.00, y,1456.00, width,4466.00, height,1965.00
,,class name,D002,score,0.86,cnter,274,1731,area,212,width,25,height,13
,,class name,D002,score,0.76,cnter,267,1719,area,30,width,7,height,6
23-10-2023, 10:12:21,image name,002_10.00_017_2.jpg,model name,Defect002Proj_009_110923_120400_12092023_080214.vrws, Thresholds,0.60,1.00, roi used,false, angle,0.00, x,1013.00, y,1456.00, width,4466.00, height,1965.00
,,------------------------------no defects found-----------------------------
